ID,Released_Year,Genre
0,1948,Action
1,1962,Action
2,1964,Action
3,1969,Action
4,1971,Action
5,1977,Action
6,1978,Action
7,1979,Action
8,1980,Action
9,1981,Action
10,1982,Action
11,1982,Action
12,1982,Action
13,1984,Action
14,1984,Action
15,1986,Action
16,1987,Action
17,1987,Action
18,1988,Action
19,1988,Action
20,1989,Action
21,1991,Action
22,1992,Action
23,1993,Action
24,1993,Action
25,1993,Action
26,1995,Action
27,1997,Action
28,1997,Action
29,1998,Action
30,1999,Action
31,1999,Action
32,1999,Action
33,2000,Action
34,2001,Action
35,2002,Action
36,2002,Action
37,2002,Action
38,2002,Action
39,2003,Action
40,2003,Action
41,2003,Action
42,2003,Action
43,2004,Action
44,2004,Action
45,2004,Action
46,2004,Action
47,2005,Action
48,2005,Action
49,2005,Action
50,2005,Action
51,2006,Action
52,2006,Action
53,2006,Action
54,2006,Action
55,2006,Action
56,2007,Action
57,2007,Action
58,2007,Action
59,2007,Action
60,2008,Action
61,2008,Action
62,2008,Action
63,2009,Action
64,2009,Action
65,2009,Action
66,2009,Action
67,2009,Action
68,2009,Action
69,2010,Action
70,2010,Action
71,2010,Action
72,2011,Action
73,2012,Action
74,2012,Action
75,2012,Action
76,2012,Action
77,2013,Action
78,2013,Action
79,2014,Action
80,2014,Action
81,2014,Action
82,2014,Action
83,2014,Action
84,2014,Action
85,2014,Action
86,2014,Action
87,2015,Action
88,2015,Action
89,2015,Action
90,2016,Action
91,2016,Action
92,1933,Adventure
93,1939,Adventure
94,1948,Adventure
95,1957,Adventure
96,1959,Adventure
97,1962,Adventure
98,1963,Adventure
99,1964,Adventure
100,1967,Adventure
101,1968,Adventure
102,1968,Adventure
103,1969,Adventure
104,1975,Adventure
105,1975,Adventure
106,1975,Adventure
107,1977,Adventure
108,1978,Adventure
109,1979,Adventure
110,1980,Adventure
111,1981,Adventure
112,1981,Adventure
113,1982,Adventure
114,1982,Adventure
115,1983,Adventure
116,1985,Adventure
117,1986,Adventure
118,1986,Adventure
119,1987,Adventure
120,1987,Adventure
121,1989,Adventure
122,1989,Adventure
123,1990,Adventure
124,1992,Adventure
125,1992,Adventure
126,1993,Adventure
127,1994,Adventure
128,1995,Adventure
129,1995,Adventure
130,1997,Adventure
131,1998,Adventure
132,1998,Adventure
133,1999,Adventure
134,1999,Adventure
135,2000,Adventure
136,2000,Adventure
137,2000,Adventure
138,2000,Adventure
139,2001,Adventure
140,2001,Adventure
141,2001,Adventure
142,2002,Adventure
143,2002,Adventure
144,2003,Adventure
145,2003,Adventure
146,2003,Adventure
147,2003,Adventure
148,2004,Adventure
149,2004,Adventure
150,2005,Adventure
151,2005,Adventure
152,2005,Adventure
153,2006,Adventure
154,2006,Adventure
155,2006,Adventure
156,2006,Adventure
157,2006,Adventure
158,2007,Adventure
159,2007,Adventure
160,2007,Adventure
161,2008,Adventure
162,2008,Adventure
163,2009,Adventure
164,2009,Adventure
165,2009,Adventure
166,2009,Adventure
167,2009,Adventure
168,2009,Adventure
169,2009,Adventure
170,2009,Adventure
171,2009,Adventure
172,2010,Adventure
173,2010,Adventure
174,2010,Adventure
175,2010,Adventure
176,2012,Adventure
177,2012,Adventure
178,2012,Adventure
179,2012,Adventure
180,2012,Adventure
181,2012,Adventure
182,2013,Adventure
183,2013,Adventure
184,2013,Adventure
185,2013,Adventure
186,2014,Adventure
187,2014,Adventure
188,2014,Adventure
189,2014,Adventure
190,2014,Adventure
191,2014,Adventure
192,2014,Adventure
193,2014,Adventure
194,2014,Adventure
195,2014,Adventure
196,2015,Adventure
197,2015,Adventure
198,2015,Adventure
199,2015,Adventure
200,2016,Adventure
201,2016,Adventure
202,1940,Animation
203,1967,Animation
204,1988,Animation
205,1992,Animation
206,1994,Animation
207,1995,Animation
208,1998,Animation
209,1999,Animation
210,1999,Animation
211,1999,Animation
212,2001,Animation
213,2001,Animation
214,2003,Animation
215,2004,Animation
216,2007,Animation
217,2007,Animation
218,2008,Animation
219,2009,Animation
220,2009,Animation
221,2009,Animation
222,2009,Animation
223,2010,Animation
224,2010,Animation
225,2010,Animation
226,2010,Animation
227,2012,Animation
228,2014,Animation
229,2014,Animation
230,2014,Animation
231,2015,Animation
232,1962,Biography
233,1965,Biography
234,1966,Biography
235,1969,Biography
236,1970,Biography
237,1979,Biography
238,1980,Biography
239,1980,Biography
240,1982,Biography
241,1983,Biography
242,1984,Biography
243,1987,Biography
244,1989,Biography
245,1992,Biography
246,1993,Biography
247,1993,Biography
248,1994,Biography
249,1995,Biography
250,1996,Biography
251,1997,Biography
252,1999,Biography
253,1999,Biography
254,1999,Biography
255,2000,Biography
256,2001,Biography
257,2001,Biography
258,2002,Biography
259,2002,Biography
260,2004,Biography
261,2004,Biography
262,2004,Biography
263,2005,Biography
264,2005,Biography
265,2005,Biography
266,2006,Biography
267,2006,Biography
268,2007,Biography
269,2007,Biography
270,2007,Biography
271,2007,Biography
272,2008,Biography
273,2008,Biography
274,2009,Biography
275,2009,Biography
276,2010,Biography
277,2010,Biography
278,2010,Biography
279,2011,Biography
280,2012,Biography
281,2013,Biography
282,2013,Biography
283,2013,Biography
284,2013,Biography
285,2013,Biography
286,2013,Biography
287,2014,Biography
288,2014,Biography
289,2015,Biography
290,2015,Biography
291,2015,Biography
292,1921,Comedy
293,1934,Comedy
294,1936,Comedy
295,1939,Comedy
296,1952,Comedy
297,1955,Comedy
298,1959,Comedy
299,1960,Comedy
300,1964,Comedy
301,1964,Comedy
302,1964,Comedy
303,1973,Comedy
304,1974,Comedy
305,1974,Comedy
306,1975,Comedy
307,1977,Comedy
308,1979,Comedy
309,1980,Comedy
310,1980,Comedy
311,1983,Comedy
312,1984,Comedy
313,1985,Comedy
314,1987,Comedy
315,1989,Comedy
316,1989,Comedy
317,1989,Comedy
318,1989,Comedy
319,1990,Comedy
320,1992,Comedy
321,1992,Comedy
322,1992,Comedy
323,1993,Comedy
324,1993,Comedy
325,1994,Comedy
326,1994,Comedy
327,1995,Comedy
328,1997,Comedy
329,1998,Comedy
330,1998,Comedy
331,1998,Comedy
332,1998,Comedy
333,1998,Comedy
334,1998,Comedy
335,1999,Comedy
336,1999,Comedy
337,1999,Comedy
338,1999,Comedy
339,2000,Comedy
340,2000,Comedy
341,2000,Comedy
342,2000,Comedy
343,2001,Comedy
344,2001,Comedy
345,2001,Comedy
346,2001,Comedy
347,2001,Comedy
348,2002,Comedy
349,2003,Comedy
350,2003,Comedy
351,2003,Comedy
352,2004,Comedy
353,2006,Comedy
354,2006,Comedy
355,2006,Comedy
356,2007,Comedy
357,2007,Comedy
358,2008,Comedy
359,2009,Comedy
360,2009,Comedy
361,2009,Comedy
362,2009,Comedy
363,2009,Comedy
364,2010,Comedy
365,2010,Comedy
366,2010,Comedy
367,2010,Comedy
368,2010,Comedy
369,2011,Comedy
370,2011,Comedy
371,2011,Comedy
372,2012,Comedy
373,2012,Comedy
374,2012,Comedy
375,2013,Comedy
376,2013,Comedy
377,2013,Comedy
378,2014,Comedy
379,2014,Comedy
380,2015,Comedy
381,2015,Comedy
382,2016,Comedy
383,1954,Crime
384,1955,Crime
385,1957,Crime
386,1962,Crime
387,1969,Crime
388,1971,Crime
389,1972,Crime
390,1973,Crime
391,1974,Crime
392,1976,Crime
393,1979,Crime
394,1983,Crime
395,1984,Crime
396,1987,Crime
397,1990,Crime
398,1991,Crime
399,1991,Crime
400,1992,Crime
401,1992,Crime
402,1992,Crime
403,1993,Crime
404,1993,Crime
405,1993,Crime
406,1994,Crime
407,1995,Crime
408,1995,Crime
409,1995,Crime
410,1996,Crime
411,1997,Crime
412,1997,Crime
413,1997,Crime
414,1998,Crime
415,1998,Crime
416,1999,Crime
417,1999,Crime
418,2000,Crime
419,2000,Crime
420,2000,Crime
421,2000,Crime
422,2001,Crime
423,2001,Crime
424,2001,Crime
425,2002,Crime
426,2002,Crime
427,2002,Crime
428,2003,Crime
429,2003,Crime
430,2003,Crime
431,2004,Crime
432,2004,Crime
433,2004,Crime
434,2004,Crime
435,2005,Crime
436,2005,Crime
437,2006,Crime
438,2006,Crime
439,2006,Crime
440,2006,Crime
441,2006,Crime
442,2007,Crime
443,2007,Crime
444,2007,Crime
445,2007,Crime
446,2007,Crime
447,2008,Crime
448,2008,Crime
449,2008,Crime
450,2010,Crime
451,2010,Crime
452,2011,Crime
453,2011,Crime
454,2012,Crime
455,2013,Crime
456,2013,Crime
457,2013,Crime
458,2014,Crime
459,2014,Crime
460,2015,Crime
461,2015,Crime
462,2015,Crime
463,1921,Drama
464,1927,Drama
465,1936,Drama
466,1939,Drama
467,1939,Drama
468,1940,Drama
469,1942,Drama
470,1945,Drama
471,1946,Drama
472,1946,Drama
473,1948,Drama
474,1951,Drama
475,1951,Drama
476,1952,Drama
477,1953,Drama
478,1954,Drama
479,1957,Drama
480,1957,Drama
481,1958,Drama
482,1959,Drama
483,1960,Drama
484,1961,Drama
485,1961,Drama
486,1962,Drama
487,1962,Drama
488,1962,Drama
489,1962,Drama
490,1962,Drama
491,1962,Drama
492,1963,Drama
493,1964,Drama
494,1964,Drama
495,1965,Drama
496,1965,Drama
497,1966,Drama
498,1968,Drama
499,1969,Drama
500,1969,Drama
501,1970,Drama
502,1971,Drama
503,1971,Drama
504,1972,Drama
505,1972,Drama
506,1973,Drama
507,1974,Drama
508,1974,Drama
509,1975,Drama
